Name,Price,Vin Number,Vehicle Summary,Top features & Specs
2011 Mazda MX-5 Miata,"$18,990",JM1NC2PF9B0213955,"59,153 miles, automatic transmission, rear wheel drive, 21 city / 28 hwy, 2 Seats","Heated Seats, Keyless Entry, Bose Premium Sound, Dynamic Stability Control, Fog Lights"
2021 Jeep Grand Cherokee,"$41,590",1C4RJEBG1MC657227,"12,058 miles, automatic transmission, rear wheel drive, 293 horsepower, gas engine, 19 city / 26 hwy, 5 Seats","Heated Seats, Keyless Entry, Navigation System, Power Liftgate Release, Tilt & Telescoping Wheel, Bluetooth Wireless, Blind-Spot Alert, Electronic Stability Control, Fog Lights"
2018 Land Rover Discovery Sport,"$31,499",SALCP2RX2JH759748,"16,530 miles, automatic transmission, all wheel drive, 237 horsepower, gas engine, 21 city / 25 hwy, 5 Seats","11 Speakers, 18 Inch Wheels, 4-Wheel Disc Brakes, Adjustable Seats, Adjustable Steering Wheel, Air Conditioning, Alloy Wheels, Ambient Lighting, Anti-Lock Brakes, Anti-Theft System, Auto Climate Control, Auto-Dimming Mirror, Blind Spot Monitor, Braking Assist, Child Safety Locks, Child Seat Anchors, Convenience Package, Cruise Control, Daytime Running Lights, Digital Instrument Cluster"
2020 Volvo V60 Cross Country,"$44,990",YV4102WK5L1043432,"2,572 miles, automatic transmission, all wheel drive, 250 horsepower, gas engine, 22 city / 31 hwy, 5 Seats","Heated Seats, Keyless Entry, Tilt & Telescoping Wheel, Bluetooth Wireless, Collision Mitigation System, Electronic Stability Control, Lane Departure Warning System, LED Headlamps"
2017 Dodge Journey,"$20,590",3C4PDDGG4HT578761,"77,708 miles, automatic transmission, all wheel drive, 283 horsepower, gas engine, 16 city / 24 hwy, 7 Seats",
2017 Porsche Macan,"$35,990",WP1AA2A55HLB00594,"67,112 miles, automated manual transmission, all wheel drive, 252 horsepower, gas engine, 20 city / 25 hwy, 5 Seats","Heated Seats, Keyless Entry, Navigation System, Bluetooth Wireless, Bose Surround Sound, Lane Departure Warning, Stability Control, Premium Wheels"
2016 Lexus NX 200t,"$26,590",JTJYARBZ9G2032084,"75,868 miles, automatic transmission, front wheel drive, 235 horsepower, gas engine, 22 city / 28 hwy, 5 Seats","Heated Seats, Keyless Entry, Navigation System, Power Trunk Release, Tilt & Telescoping Wheel, Bluetooth Wireless, Blind-Spot Monitor, Stability Control, LED Headlamps"
2018 Lexus RX 350,"$40,499",2T2BZMCA3JC140010,"15,558 miles, automatic transmission, all wheel drive, 295 horsepower, gas engine, 19 city / 26 hwy, 5 Seats","Adaptive Cruise Control, Dual-Zone Climate Control, Heated Seats, Power Doors, Power Liftgate, Rain-Sensing Wipers, Steering Wheel Controls, Premium Sound System, Smart Device Integration, Collision Warning System, Lane Departure Warning, Rear-View Camera, Stability Control, Tire Pressure Monitoring System, Heated Mirrors, LED Fog Lights, Turn Signal Mirrors"
2018 Ram 1500,"$32,999",1C6RR7FT1JS291628,"60,264 miles, automatic transmission, four wheel drive, 395 horsepower, gas engine, 16 city / 23 hwy, 6'4” bed length, 6 Seats","Remote Keyless Entry, Steering Wheel Controls, Handsfree/Bluetooth Integration, Rear-View Camera, Stability Control, Tire Pressure Monitoring System, Halogen Headlights, Heated Mirrors, Trailer Wiring"
2018 Chrysler 300,"$30,590",2C3CCABG9JH201692,"25,535 miles, automatic transmission, rear wheel drive, 300 horsepower, gas engine, 19 city / 30 hwy, 5 Seats","Heated Seats, Keyless Entry, Power Trunk Release, Tilt & Telescoping Wheel, Bluetooth Wireless, Electronic Stability Control, Fog Lights"
2012 Mazda MX-5 Miata,"$19,990",JM1NC2PF5C0219995,"59,712 miles, automatic transmission, rear wheel drive, 21 city / 28 hwy, 2 Seats","Heated Seats, Keyless Entry, Bose Premium Sound, Dynamic Stability Control, Fog Lights"
2016 Ford Focus RS,"$35,499",WF0DP3TH0G4115472,"41,330 miles, manual transmission, all wheel drive, 350 horsepower, gas engine, 5 Seats","Heated Steering Wheel, Navigation System, Handsfree/Bluetooth Integration, No pressure, Rear-View Camera, Stability Control, Fog Lights, Turn Signal Mirrors"
2018 Chevrolet Colorado,"$26,990",1GCHSBEA0J1325303,"6,715 miles, automatic transmission, rear wheel drive, 20 city / 26 hwy, 6'2” bed length, 4 Seats",Bluetooth Wireless
2019 Hyundai Sonata,"$23,990",5NPE34AF2KH797798,"28,991 miles, automatic transmission, front wheel drive, 185 horsepower, gas engine, 25 city / 33 hwy, 5 Seats","Heated Seats, Power Trunk Release, Push Button Start, Tilt & Telescoping Wheel, Bluetooth Wireless, Blind-Spot Detection, Electronic Stability Control"
2017 Volkswagen Golf Alltrack,"$21,590",3VWH17AU4HM543545,"72,769 miles, automated manual transmission, all wheel drive, 170 horsepower, gas engine, 22 city / 30 hwy, 5 Seats","Heated Seats, Tilt & Telescoping Wheel, Bluetooth Wireless, Electronic Stability Control, Fog Lights"
2018 Nissan Rogue,"$20,990",KNMAT2MT6JP529568,"78,474 miles, automatic transmission, front wheel drive, 170 horsepower, gas engine, 26 city / 33 hwy, 5 Seats","Heated Seats, Push Button Start, Tilt & Telescoping Wheel, Bluetooth Wireless, Blind-Spot Monitor"
2016 Dodge Challenger,"$41,990",2C3CDZFJ9GH236324,"12,863 miles, automatic transmission, rear wheel drive, 485 horsepower, gas engine, 14 city / 23 hwy, 5 Seats",
2021 Acura RDX,"$46,590",5J8TC2H63ML003666,"9,979 miles, automatic transmission, all wheel drive, 272 horsepower, gas engine, 21 city / 26 hwy, 5 Seats","Adaptive Cruise Control, Heated & Ventilated Seats, Navigation System, Push Button Start, Tilt & Telescoping Wheel, Bluetooth Wireless, Lane Departure Warning System, Stability Control, LED Headlamps"
2020 Buick Enclave,"$31,499",5GAERBKW9LJ101482,"52,835 miles, automatic transmission, front wheel drive, 310 horsepower, gas engine, 18 city / 26 hwy, 7 Seats","Heated Seats, Multi-Zone Climate Control, Power Liftgate, Steering Wheel Controls, Handsfree/Bluetooth Integration, No pressure, Parking Sensors, Rear-View Camera, Fog Lights, Roof Rails, Turn Signal Mirrors"
2016 Chevrolet Tahoe,"$39,999",1GNSCBKC8GR430147,"73,690 miles, automatic transmission, rear wheel drive, 355 horsepower, flex-fuel (FFV) engine, 16 city / 23 hwy, 7 Seats","Heated Seats, Multi-Zone Climate Control, Power Liftgate, Rain-Sensing Wipers, Remote Keyless Entry, Remote Start, Seat Memory, Steering Wheel Controls, Premium Sound System, Smart Device Integration, Wi-Fi Hotspot, Lane Departure Warning, Rear Parking Sensors, Rear-View Camera, Stability Control, Tire Pressure Monitoring System, Automatic Headlights, Heated Mirrors, Trailer Hitch"
2018 Chevrolet Silverado 1500,"$44,990",3GCUKREC1JG473485,"12,576 miles, automatic transmission, four wheel drive, 355 horsepower, gas engine, 17 city / 22 hwy, 5'9” bed length, 5 Seats",
2020 Subaru WRX,"$41,499",JF1VA2E63L9820543,"4,529 miles, manual transmission, all wheel drive, 310 horsepower, gas engine, 16 city / 22 hwy, 5 Seats","Auto Climate Control, Dual-Zone Climate Control, Heated Seats, Keyless Entry, Steering Wheel Controls, Handsfree/Bluetooth Integration, Rear-View Camera, Tire Pressure Monitoring System, Adaptive Headlights, Heated Mirrors, Turn Signal Mirrors"
2018 Audi Q5,"$35,499",WA1BNAFY8J2176114,"43,708 miles, automated manual transmission, all wheel drive, 252 horsepower, gas engine, 23 city / 27 hwy, 5 Seats","Auto Climate Control, Dual-Zone Climate Control, Navigation System, Power Liftgate, Rain-Sensing Wipers, Remote Keyless Entry, Steering Wheel Controls, Smart Device Integration, Collision Warning System, Rear-View Camera, Stability Control, Tire Pressure Monitoring System, Fog Lights, Heated Mirrors, Turn Signal Mirrors"
2014 Toyota Tundra,"$35,499",5TFAW5F16EX395820,"94,682 miles, automatic transmission, four wheel drive, 381 horsepower, flex-fuel (FFV) engine, 13 city / 17 hwy, 5'7” bed length, 5 Seats","Dual-Zone Climate Control, Heated Seats, Navigation System, Remote Keyless Entry, Seat Memory, Steering Wheel Controls, Handsfree/Bluetooth Integration, Blind Spot Monitor, Front Parking Sensors, Rear-View Camera, Stability Control, Tire Pressure Monitoring System, Halogen Headlights, Heated Mirrors, Trailer Hitch, Turn Signal Mirrors"
2017 Ram 1500,"$40,990",1C6RR7WT7HS689047,"44,944 miles, automatic transmission, four wheel drive, 395 horsepower, gas engine, 15 city / 21 hwy, 6'4” bed length, 5 Seats","Heated Seats, Keyless Entry, Navigation System, Bluetooth Wireless, Electronic Stability Control, Fog Lights, Towing Pkg"
2017 Mazda 3,"$20,590",JM1BN1W34H1134548,"46,978 miles, manual transmission, front wheel drive, 25 city / 34 hwy, 5 Seats","Heated Seats, Keyless Entry, Power Liftgate Release, Tilt & Telescoping Wheel, Bluetooth Wireless, Bose Surround Sound, Dynamic Stability Control, Fog Lights"
2021 Kia Sorento Hybrid,"$35,499",KNDRH4LGXM5019390,"8,305 miles, automatic transmission, front wheel drive, 227 horsepower, hybrid engine, 39 city / 35 hwy, 6 Seats","Auto Climate Control, Dual-Zone Climate Control, Heated Seats, Remote Start, Steering Wheel Controls, Android Auto, Apple Carplay, Handsfree/Bluetooth Integration, Blind Spot Monitor, Collision Warning System, Lane Departure Warning, No pressure, Rear Parking Sensors, Rear-View Camera, Stability Control, Automatic Headlights, Heated Mirrors, Turn Signal Mirrors"
2016 Cadillac Escalade,"$42,499",1GYS3BKJ2GR191695,"89,384 miles, automatic transmission, rear wheel drive, 420 horsepower, gas engine, 15 city / 22 hwy, 8 Seats","Auto Climate Control, Cooled Seats, Heated Steering Wheel, Keyless Ignition, Navigation System, Power Liftgate, Rain-Sensing Wipers, Rear Heated Seats, Seat Memory, Steering Wheel Controls, Handsfree/Bluetooth Integration, Blind Spot Monitor, Collision Warning System, Front Parking Sensors, Head-Up Display, Lane Departure Warning, Rear-View Camera, Stability Control, Tire Pressure Monitoring System, Automatic Headlights, Heated Mirrors, Roof Rack, Turn Signal Mirrors"
2017 Volvo XC90,"$37,999",YV4A22PL6H1161045,"61,398 miles, automatic transmission, all wheel drive, 20 city / 25 hwy, 7 Seats","Adaptive Cruise Control, Heated Steering Wheel, Navigation System, Rain-Sensing Wipers, Rear Heated Seats, Remote Keyless Entry, Remote Start, Seat Memory, Steering Wheel Controls, Handsfree/Bluetooth Integration, Premium Sound System, WiFi Hotspot, Blind Spot Monitor, Collision Warning System, Front Parking Sensors, Lane Departure Warning, Rear-View Camera, Stability Control, Tire Pressure Monitoring System, Automatic Headlights, Heated Mirrors, Roof Rails, Supercharger, Turn Signal Mirrors"
2017 Mercedes-Benz GLC-Class,"$37,990",WDC0G4KB1HF173420,"10,972 miles, automatic transmission, all wheel drive, 241 horsepower, gas engine, 21 city / 28 hwy, 5 Seats","Keyless Entry, Power Liftgate Release, Tilt & Telescoping Wheel, Bluetooth Wireless, Electronic Stability Control, Fog Lights"
2018 Chevrolet Malibu,"$22,990",1G1ZF5SU8JF235417,"30,569 miles, direct drive transmission, front wheel drive, 49 city / 43 hwy, 5 Seats","Keyless Start, Navigation System, Power Trunk Release, Tilt & Telescoping Wheel, Bluetooth Wireless"
2019 Subaru Outback,"$25,590",4S4BSABC4K3240486,"46,129 miles, automatic transmission, all wheel drive, 175 horsepower, gas engine, 25 city / 32 hwy, 5 Seats","Adaptive Cruise Control, Keyless Entry, Tilt & Telescoping Wheel, Bluetooth Wireless"
2019 Honda Pilot,"$33,990",5FNYF5H50KB019067,"29,699 miles, automatic transmission, front wheel drive, 280 horsepower, gas engine, 19 city / 27 hwy, 8 Seats","Adaptive Cruise Control, Heated Seats, Keyless Entry, Tilt & Telescoping Wheel, Bluetooth Wireless, Lane Departure Warning System, Stability Control, Fog Lights"
2017 Ford Fusion,"$18,590",3FA6P0K92HR124709,"84,751 miles, automatic transmission, front wheel drive, 21 city / 31 hwy, 5 Seats","Heated Seats, Keyless Start, Navigation System, Tilt & Telescoping Wheel, Bluetooth Wireless, LED Headlamps"
2021 Mercedes-Benz GLE-Class Coupe,"$91,999",4JGFD6BB8MA192988,"9,515 miles, automatic transmission, all wheel drive, 18 city / 23 hwy, 5 Seats","Auto Climate Control, Cooled Seats, Dual-Zone Climate Control, Heated Seats, Power Liftgate, Remote Keyless Entry, Remote Start, Seat Memory, Steering Wheel Controls, Android Auto, Burmester Sound System, Smart Device Integration, Wi-Fi Hotspot, Blind Spot Monitor, Lane Departure Warning, Rear-View Camera, Adaptive Headlights, Heated Mirrors, Roof Rack, Trailer Hitch, Turn Signal Mirrors"
2015 Volkswagen Passat,"$20,590",1VWBT7A31FC026113,"15,076 miles, automatic transmission, front wheel drive, 24 city / 36 hwy, 5 Seats","Heated Seats, Keyless Entry, Tilt & Telescoping Wheel, Bluetooth Wireless, Electronic Stability Control"
2016 Nissan Juke,"$18,990",JN8AF5MV0GT655598,"58,443 miles, automatic transmission, all wheel drive, 188 horsepower, gas engine, 26 city / 31 hwy, 5 Seats","Keyless Entry, Navigation System, Bluetooth Wireless, Fog Lights"
2018 Hyundai Santa Fe Sport,"$20,499",5XYZT3LB5JG565742,"56,928 miles, automatic transmission, front wheel drive, 185 horsepower, gas engine, 21 city / 27 hwy, 5 Seats","Steering Wheel Controls, Aux Audio Adapter, Handsfree/Bluetooth Integration, No pressure, Rear-View Camera"
2019 Genesis G70,"$31,990",KMTG64LA6KU013759,"27,000 miles, automatic transmission, rear wheel drive, 252 horsepower, gas engine, 22 city / 30 hwy, 5 Seats","Push Button Start, Smart Cruise Control, Tilt & Telescoping Wheel, Bluetooth Wireless, Blind-Spot Detection, Lane Departure Warning System, Stability Control"
2019 Chevrolet Camaro,"$31,499",1G1FB1RS5K0142631,"16,590 miles, automatic transmission, rear wheel drive, 335 horsepower, gas engine, 20 city / 30 hwy, 4 Seats","Auto Climate Control, Keyless Entry, Android Auto, Apple Carplay, Handsfree/Bluetooth Integration, Wi-Fi Hotspot, Rear-View Camera, Stability Control, Tire Pressure Monitoring System, LED Lights"
2021 Mazda CX-3,"$25,999",JM1DKDB75M1512575,"1,322 miles, automatic transmission, front wheel drive, 148 horsepower, gas engine, 29 city / 34 hwy, 5 Seats","6-speaker sound system, Android Auto, Apple CarPlay, Blind Spot Monitoring, Brake Assist, Lane Departure, Specific Low Tire Pressure, Spot| Collision Mitigation"
2016 Kia Optima,"$21,990",5XXGT4L35GG112126,"21,887 miles, automatic transmission, front wheel drive, 185 horsepower, gas engine, 24 city / 35 hwy, 5 Seats","Keyless Entry, Tilt & Telescoping Wheel, Bluetooth Wireless, Electronic Stability Control"
2021 Chevrolet Silverado 2500HD,"$56,999",1GC1YME74MF295570,"4,255 miles, automatic transmission, four wheel drive, 401 horsepower, gas engine, 6'10” bed length, 6 Seats","Remote Keyless Entry, Remote Start, Steering Wheel Controls, Android Auto, Apple Carplay, Handsfree/Bluetooth Integration, Rear-View Camera, Stability Control, Tire Pressure Monitoring System, Halogen Headlights, Heated Mirrors, Trailer Brake Controller, Turn Signal Mirrors"
2017 Toyota Camry,"$18,990",4T1BF1FK8HU655352,"71,293 miles, automatic transmission, front wheel drive, 178 horsepower, gas engine, 24 city / 33 hwy, 5 Seats","Keyless Entry, Power Trunk Release, Tilt & Telescoping Wheel, Bluetooth Wireless, Stability Control"
2020 Nissan Altima,"$21,999",1N4BL4BV7LC131001,"51,590 miles, automatic transmission, front wheel drive, 188 horsepower, gas engine, 28 city / 39 hwy, 5 Seats","Cruise Control w/Steering Wheel, Remote Engine, Android Auto, Apple CarPlay, Bluetooth hands-free phone system, Brake Assist, Collision Mitigation, Electronic Stability Control, Tire Pressure Monitoring System Tire Specific Low"
2017 Audi Q7,"$36,499",WA1LHAF75HD053758,"58,107 miles, automatic transmission, all wheel drive, 252 horsepower, gas engine, 20 city / 25 hwy, 7 Seats","Adaptive Cruise Control, Auto Climate Control, Dual-Zone Climate Control, Heated Seats, MMI Navigation Plus Package, Power Liftgate, Rain-Sensing Wipers, Remote Keyless Entry, Seat Memory, Steering Wheel Controls, Smart Device Integration, Blind Spot Monitor, Collision Warning System, Lane Departure Warning, Parking Sensors, Rear-View Camera, Stability Control, Tire Pressure Monitoring System, Automatic Headlights, Heated Mirrors, Turn Signal Mirrors"
2018 Toyota Highlander,"$38,499",5TDYZRFH7JS267418,"16,784 miles, automatic transmission, front wheel drive, 295 horsepower, gas engine, 21 city / 27 hwy, 7 Seats","Adaptive Cruise Control, Heated Seats, Navigation System, Power Liftgate, Seat Memory, Handsfree/Bluetooth Integration, Blind Spot Monitor, Collision Warning System, Lane Departure Warning, No pressure, Rear Parking Sensors, Rear-View Camera, Automatic Headlights, Heated Mirrors"
2018 Nissan Rogue Sport,"$19,990",JN1BJ1CP4JW500734,"57,376 miles, automatic transmission, front wheel drive, 141 horsepower, gas engine, 25 city / 32 hwy, 5 Seats","Keyless Entry, Bluetooth Wireless"
2015 Hyundai Sonata,"$18,990",5NPE24AF3FH251892,"18,748 miles, automatic transmission, front wheel drive, 185 horsepower, gas engine, 25 city / 37 hwy, 5 Seats","Keyless Entry, Tilt & Telescoping Wheel, Bluetooth Wireless, Electronic Stability Control"
2016 Mazda 3,"$20,590",JM1BM1U70G1327805,"19,634 miles, automatic transmission, front wheel drive, 30 city / 41 hwy, 5 Seats","Keyless Entry, Power Trunk Release, Tilt & Telescoping Wheel, Bluetooth Wireless, Blind-Spot Alert, Dynamic Stability Control"
2016 Subaru WRX,"$26,999",JF1VA1J69G9828698,"24,724 miles, manual transmission, all wheel drive, 268 horsepower, gas engine, 20 city / 27 hwy, 5 Seats","Auto Climate Control, Heated Seats, Keyless Entry, Smart Device Integration, Rear-View Camera, Tire Pressure Monitoring System, Fog Lights, Heated Mirrors"
2017 Ford Expedition,"$30,499",1FMJU1HT2HEA51751,"75,270 miles, automatic transmission, rear wheel drive, 365 horsepower, gas engine, 15 city / 21 hwy, 8 Seats","Auto Climate Control, Heated Seats, Power Liftgate, Remote Keyless Entry, Remote Start, Steering Wheel Controls, Handsfree/Bluetooth Integration, No pressure, Rear Parking Sensors, Rear-View Camera, Stability Control, Automatic Headlights, Trailer Hitch"
2020 Nissan Rogue,"$23,990",KNMAT2MT0LP522313,"45,571 miles, automatic transmission, front wheel drive, 170 horsepower, gas engine, 26 city / 33 hwy, 5 Seats","Power Liftgate Release, Push Button Start, Tilt & Telescoping Wheel, Bluetooth Wireless, Blind-Spot Monitor, Lane Departure Warning System, Parking Sensors"
2015 Chevrolet Silverado 1500,"$32,499",1GCVKREC1FZ345632,"63,000 miles, automatic transmission, four wheel drive, 355 horsepower, gas engine, 17 city / 22 hwy, 6'7” bed length, 6 Seats","Keyless Entry, Steering Wheel Controls, Handsfree/Bluetooth Integration, Rear-View Camera, Stability Control, Tire Pressure Monitoring System"
2019 FIAT 124 Spider,"$26,590",JC1NFAEK3K0141214,"1,170 miles, automatic transmission, rear wheel drive, 26 city / 35 hwy, 2 Seats","Push Button Start, Bluetooth Wireless, Electronic Stability Control"
2013 Hyundai Genesis Coupe,"$21,990",KMHHT6KD0DU096851,"22,262 miles, manual transmission, rear wheel drive, 21 city / 30 hwy, 4 Seats","Keyless Entry, Bluetooth Wireless, Stability Control"
2019 Dodge Challenger,"$83,990",2C3CDZL97KH641648,"4,898 miles, automatic transmission, rear wheel drive, 797 horsepower, gas engine, 13 city / 21 hwy, 5 Seats","Heated Seats, Keyless Entry, Navigation System, Power Trunk Release, Tilt & Telescoping Wheel, Bluetooth Wireless, harman/kardon Premium Sound, Blind-Spot Alert, Electronic Stability Control, HID Headlamps"
2019 Ford F-150,"$66,999",1FTFW1RGXKFA78994,"44,808 miles, automatic transmission, four wheel drive, 450 horsepower, gas engine, 15 city / 18 hwy, 5'7” bed length, 5 Seats","Adaptive Cruise Control, Auto Climate Control, Heated Steering Wheel, Keyless Entry Keypad, Navigation System, Remote Start, Bang & Olufsen Sound System, Wi-Fi Hotspot, Blind Spot Monitor, Collision Warning System, Rear Parking Sensors, Rear-View Camera, Stability Control, Tire Pressure Monitoring System, Automatic Headlights, Trailer Backup Assist"
2020 Jeep Wrangler,"$44,999",1C4HJXDN0LW266067,"15,387 miles, automatic transmission, four wheel drive, gas engine, 17 city / 23 hwy, 5 Seats","Auto Climate Control, Navigation System, Remote Keyless Entry, Android Auto, Apple Carplay, Wi-Fi Hotspot, Collision Warning System, Rear-View Camera, Stability Control, Tire Pressure Monitoring System, Heated Mirrors, LED Fog Lights"
2019 Chevrolet Equinox,"$20,990",2GNAXTEV2K6254249,"73,982 miles, automatic transmission, all wheel drive, 170 horsepower, gas engine, 25 city / 30 hwy, 5 Seats","Push Button Start, Tilt & Telescoping Wheel, Bluetooth Wireless, HID Headlamps, Roof Rack"
2017 Acura ILX,"$20,990",19UDE2F34HA015883,"44,455 miles, automated manual transmission, front wheel drive, 201 horsepower, gas engine, 25 city / 35 hwy, 5 Seats","Heated Seats, Keyless Start, Power Trunk Release, Tilt & Telescoping Wheel, Bluetooth Wireless, Stability Control, LED Headlamps"
2019 Volkswagen Jetta,"$19,999",3VWCB7BU7KM185578,"51,144 miles, automatic transmission, front wheel drive, 147 horsepower, gas engine, 30 city / 40 hwy, 5 Seats","Dual Zone Front Automatic Air Conditioning, Steering Wheel Controls and Radio Data System, Android Auto, Apple CarPlay, VW Car-Net app-connect smartphone integration, Airbag Occupancy Sensor, Brake Assist, Collision Mitigation-Front, Electronic Stability Control (ESC), Low Tire Pressure Warning, Security System Pre-Wiring, ""Tires: 16"""" All-Season"", 4 Turbocharged"
2019 Jeep Grand Cherokee,"$36,990",1C4RJFBG6KC761053,"22,389 miles, automatic transmission, four wheel drive, 295 horsepower, gas engine, 18 city / 25 hwy, 5 Seats","Heated Seats, Keyless Start, Navigation System, Power Liftgate Release, Tilt & Telescoping Wheel, Bluetooth Wireless, Blind-Spot Alert, Electronic Stability Control, Bi-Xenon Headlamps"
2016 Nissan Rogue,"$20,499",5N1AT2MV3GC738621,"58,756 miles, automatic transmission, all wheel drive, 170 horsepower, gas engine, 25 city / 32 hwy, 5 Seats","Auto Climate Control, Dual-Zone Climate Control, Heated Seats, Navigation System, Passive Keyless Entry, Remote Start, Steering Wheel Controls, Smart Device Integration, Rear-View Camera, Tire Pressure Monitoring System, Halogen Headlights, Heated Mirrors, Roof Rails, Turn Signal Mirrors"
2018 Toyota Avalon Hybrid,"$29,990",4T1BD1EB9JU064167,"22,027 miles, automatic transmission, front wheel drive, 200 horsepower, hybrid engine, 40 city / 39 hwy, 5 Seats","Dynamic Cruise Control, Navigation System, Push Button Start, Tilt & Telescoping Wheel, Bluetooth Wireless, Lane Departure Alert, Stability Control"
2016 Kia Optima,"$19,990",5XXGT4L35GG015136,"16,686 miles, automatic transmission, front wheel drive, 185 horsepower, gas engine, 24 city / 35 hwy, 5 Seats","Tilt & Telescoping Wheel, Bluetooth Wireless, Rear Park Assist"
2021 Lexus NX 300,"$40,990",JTJDARBZ2M2184038,"12,417 miles, automatic transmission, front wheel drive, 235 horsepower, gas engine, 22 city / 28 hwy, 5 Seats","Dynamic Radar Cruise Control, Push Button Start, Tilt & Telescoping Wheel, Bluetooth Wireless, Blind-Spot Monitor, Lane Departure Alert, Stability Control, LED Headlamps"
2015 BMW M4,"$48,499",WBS3R9C50FK330659,"41,996 miles, manual transmission, rear wheel drive, 17 city / 26 hwy, 4 Seats","Dual-Zone Climate Control, Heated Seats, Seat Memory, Steering Wheel Controls, Harman/Kardon Sound System, Blind Spot Monitor, Head-Up Display, No pressure, Parking Sensors, Rear-View Camera, Stability Control, Heated Mirrors"
2020 Nissan Altima,"$22,799",1N4BL4CV7LC129392,"64,599 miles, automatic transmission, front wheel drive, 188 horsepower, gas engine, 27 city / 37 hwy, 5 Seats","Cruise Control w/Steering Wheel, Remote Engine, Android Auto, Apple CarPlay, Bluetooth hands-free phone system, Brake Assist, Tire Pressure Monitoring System Tire Specific Low Tire Pressure Warning| Lane Departur, Automatic Highbeams| Wheels"
2015 Kia Forte,"$16,590",KNAFX4A62F5351601,"21,626 miles, automatic transmission, front wheel drive, 26 city / 39 hwy, 5 Seats","Keyless Entry, Tilt & Telescoping Wheel, Bluetooth Wireless, Electronic Stability Control"
2020 GMC Sierra 1500,"$49,990",3GTU9BED9LG443360,"4,788 miles, automatic transmission, four wheel drive, 355 horsepower, gas engine, 19 city / 22 hwy, 5'10” bed length, 6 Seats","Heated Seats, Keyless Start, Bluetooth Wireless, LED Headlamps, Towing Pkg"
2017 Kia Forte,"$13,250",3KPFK4A78HE012634,"70,707 miles, manual transmission, front wheel drive, 25 city / 34 hwy, 5 Seats","Keyless Entry, Steering Wheel Controls, Bluetooth, iPod/MP3 Input, Alarm, Brake Assist, Electronic Stability Control, Auto-Off Headlights, Heated Mirrors"
2020 BMW X3,"$42,590",5UXTY3C01L9D70054,"14,072 miles, automatic transmission, rear wheel drive, 248 horsepower, gas engine, 25 city / 29 hwy, 5 Seats","Dynamic Cruise Control, Heated Seats, Navigation System, Push Button Start, Tilt & Telescoping Wheel, Bluetooth Wireless, Dynamic Traction Control, LED Headlamps, Premium Wheels"
2017 Honda Ridgeline,"$33,499",5FPYK3F72HB030074,"59,079 miles, automatic transmission, all wheel drive, 280 horsepower, gas engine, 18 city / 25 hwy, 5'4” bed length, 5 Seats","Auto Climate Control, Heated Seats, Keyless Entry, Navigation System, Remote Start, Seat Memory, Handsfree/Bluetooth Integration, Blind Spot Monitor, Lane Departure Warning, No pressure, Rear-View Camera, Stability Control, Automatic Headlights, Trailer Hitch, Turn Signal Mirrors"
2018 Honda HR-V,"$22,990",3CZRU5H35JM719809,"19,191 miles, automatic transmission, front wheel drive, 141 horsepower, gas engine, 28 city / 34 hwy, 5 Seats",
2017 Chevrolet Camaro,"$26,590",1G1FA1RS7H0118956,"25,539 miles, automatic transmission, rear wheel drive, 335 horsepower, gas engine, 22 city / 31 hwy, 4 Seats","Keyless Start, Power Trunk Release, Tilt & Telescoping Wheel, Bluetooth Wireless"
2018 Jeep Wrangler,"$46,499",1C4HJXFG6JW196604,"14,777 miles, automatic transmission, four wheel drive, 17 city / 23 hwy, 5 Seats","Auto Climate Control, Dual-Zone Climate Control, Heated Seats, Heated Steering Wheel, Remote Keyless Entry, Remote Start, Steering Wheel Controls, Aux Audio Adapter, Handsfree/Bluetooth Integration, Blind Spot Monitor, Parking Sensors, Rear-View Camera, Stability Control, Tire Pressure Monitoring System, Automatic Headlights, Heated Mirrors"
2019 Chevrolet Silverado 1500,"$48,990",1GCUYEED8KZ136619,"18,428 miles, automatic transmission, four wheel drive, 355 horsepower, gas engine, 5'10” bed length, 5 Seats","Keyless Entry, Bluetooth Wireless, Fog Lights, Towing Pkg"
2019 BMW X5,"$60,499",5UXCR6C57KLL01345,"15,419 miles, automatic transmission, all wheel drive, 335 horsepower, gas engine, 20 city / 26 hwy, 5 Seats","Auto Climate Control, Dual-Zone Climate Control, Navigation System, Rain-Sensing Wipers, Steering Wheel Controls, Handsfree/Bluetooth Integration, Blind Spot Monitor, Parking Sensors, Rear-View Camera, Stability Control, Tire Pressure Monitoring System, Automatic Headlights, Heated Mirrors, Turn Signal Mirrors"
2021 Dodge Charger,"$35,590",2C3CDXHG8MH544781,"14,314 miles, automatic transmission, rear wheel drive, 300 horsepower, gas engine, 18 city / 27 hwy, 5 Seats","Power Trunk Release, Push Button Start, Tilt & Telescoping Wheel, Bluetooth Wireless, Electronic Stability Control, Fog Lights"
